Event_ID_Internal,GLIDE,Date,District,Latitude,Longitude,Hazard_Type,GEE_Start,GEE_End,Severity_Index_Name,Severity_Score,Validated_Affected,Full_Description
Event_0000,ST-2000-000211-BGD,2000-05-02,Barguna,22.1509,90.1263,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0001,ST-2000-000211-BGD,2000-05-02,Barishal,22.701,90.3535,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0002,ST-2000-000211-BGD,2000-05-02,Bhola,22.6859,90.6483,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0003,ST-2000-000211-BGD,2000-05-02,Jhalokati,22.6406,90.1989,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0004,ST-2000-000211-BGD,2000-05-02,Patuakhali,22.3596,90.3297,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0005,ST-2000-000211-BGD,2000-05-02,Pirojpur,22.5791,89.9751,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0006,ST-2000-000211-BGD,2000-05-02,Bandarban,22.1953,92.2184,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0007,ST-2000-000211-BGD,2000-05-02,Brahmanbaria,23.9571,91.1119,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0008,ST-2000-000211-BGD,2000-05-02,Chandpur,23.2321,90.6631,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0009,ST-2000-000211-BGD,2000-05-02,Chattogram,22.3569,91.7832,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0010,ST-2000-000211-BGD,2000-05-02,Cumilla,23.4607,91.1809,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0011,ST-2000-000211-BGD,2000-05-02,Cox's Bazar,21.4272,92.0058,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0012,ST-2000-000211-BGD,2000-05-02,Feni,23.0159,91.3976,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0013,ST-2000-000211-BGD,2000-05-02,Khagrachari,23.1192,91.9847,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0014,ST-2000-000211-BGD,2000-05-02,Lakshmipur,22.9447,90.8282,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0015,ST-2000-000211-BGD,2000-05-02,Noakhali,22.8695,91.0994,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0016,ST-2000-000211-BGD,2000-05-02,Rangamati,22.6574,92.1733,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0017,ST-2000-000211-BGD,2000-05-02,Dhaka,23.8103,90.4125,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
Event_0018,ST-2000-000211-BGD,2000-05-02,Faridpur,23.6071,89.8429,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.
