Event_ID_Internal,GLIDE,Date,District,Latitude,Longitude,Hazard_Type,GEE_Start,GEE_End,Severity_Index_Name,Severity_Score,Validated_Affected,Full_Description,Raw_Severity_Score,Data_Source,Confidence,Severity_Index,Confidence_Bin,Requires_Manual_Review
Event_0000,ST-2000-000211-BGD,5/2/2000,Barguna,22.1509,90.1263,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.1752,API_Corrected,0.85,0.409663866,Certain,FALSE
Event_0001,ST-2000-000211-BGD,5/2/2000,Barishal,22.701,90.3535,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2004,API_Corrected,0.85,0.475840336,Certain,FALSE
Event_0002,ST-2000-000211-BGD,5/2/2000,Bhola,22.6859,90.6483,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2308,API_Corrected,0.85,0.555672269,Certain,FALSE
Event_0003,ST-2000-000211-BGD,5/2/2000,Jhalokati,22.6406,90.1989,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2004,API_Corrected,0.85,0.475840336,Certain,FALSE
Event_0004,ST-2000-000211-BGD,5/2/2000,Patuakhali,22.3596,90.3297,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.1752,API_Corrected,0.85,0.409663866,Certain,FALSE
Event_0005,ST-2000-000211-BGD,5/2/2000,Pirojpur,22.5791,89.9751,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2148,API_Corrected,0.85,0.513655462,Certain,FALSE
Event_0006,ST-2000-000211-BGD,5/2/2000,Bandarban,22.1953,92.2184,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.4,API_Corrected,0.85,1,Certain,FALSE
Event_0007,ST-2000-000211-BGD,5/2/2000,Brahmanbaria,23.9571,91.1119,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.376,API_Corrected,0.85,0.93697479,Certain,FALSE
Event_0008,ST-2000-000211-BGD,5/2/2000,Chandpur,23.2321,90.6631,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.1464,API_Corrected,0.85,0.334033613,Certain,FALSE
Event_0009,ST-2000-000211-BGD,5/2/2000,Chattogram,22.3569,91.7832,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.4,API_Corrected,0.85,1,Certain,FALSE
Event_0010,ST-2000-000211-BGD,5/2/2000,Cumilla,23.4607,91.1809,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.3104,API_Corrected,0.85,0.764705882,Certain,FALSE
Event_0011,ST-2000-000211-BGD,5/2/2000,Cox's Bazar,21.4272,92.0058,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.4,API_Corrected,0.85,1,Certain,FALSE
Event_0012,ST-2000-000211-BGD,5/2/2000,Feni,23.0159,91.3976,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2996,API_Corrected,0.85,0.736344538,Certain,FALSE
Event_0013,ST-2000-000211-BGD,5/2/2000,Khagrachari,23.1192,91.9847,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.4,API_Corrected,0.85,1,Certain,FALSE
Event_0014,ST-2000-000211-BGD,5/2/2000,Lakshmipur,22.9447,90.8282,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.1672,API_Corrected,0.85,0.388655462,Certain,FALSE
Event_0015,ST-2000-000211-BGD,5/2/2000,Noakhali,22.8695,91.0994,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.3168,API_Corrected,0.85,0.781512605,Certain,FALSE
Event_0016,ST-2000-000211-BGD,5/2/2000,Rangamati,22.6574,92.1733,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.4,API_Corrected,0.85,1,Certain,FALSE
Event_0017,ST-2000-000211-BGD,5/2/2000,Dhaka,23.8103,90.4125,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.2548,API_Corrected,0.85,0.618697479,Certain,FALSE
Event_0018,ST-2000-000211-BGD,5/2/2000,Faridpur,23.6071,89.8429,Severe Local Storm,3/13/2000,6/21/2000,MODERATE_RISK,1,0,No detailed description available.,0.174,API_Corrected,0.85,0.406512605,Certain,FALSE
