Event_ID_Internal,GLIDE,Date,District,Latitude,Longitude,Hazard_Type,GEE_Start,GEE_End,Severity_Index_Name,Severity_Score,Validated_Affected,Full_Description,Raw_Severity_Score,Data_Source,Confidence,Severity_Index,Confidence_Bin,Requires_Manual_Review
Event_0000,ST-2000-000211-BGD,2000-05-02,Barguna,22.1509,90.1263,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.1752,API_Corrected,0.85,0.4096638655462185,Certain,False
Event_0001,ST-2000-000211-BGD,2000-05-02,Barishal,22.701,90.3535,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.20040000000000002,API_Corrected,0.85,0.4758403361344538,Certain,False
Event_0002,ST-2000-000211-BGD,2000-05-02,Bhola,22.6859,90.6483,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.23080000000000003,API_Corrected,0.85,0.555672268907563,Certain,False
Event_0003,ST-2000-000211-BGD,2000-05-02,Jhalokati,22.6406,90.1989,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.20040000000000002,API_Corrected,0.85,0.4758403361344538,Certain,False
Event_0004,ST-2000-000211-BGD,2000-05-02,Patuakhali,22.3596,90.3297,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.1752,API_Corrected,0.85,0.4096638655462185,Certain,False
Event_0005,ST-2000-000211-BGD,2000-05-02,Pirojpur,22.5791,89.9751,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.21480000000000002,API_Corrected,0.85,0.513655462184874,Certain,False
Event_0006,ST-2000-000211-BGD,2000-05-02,Bandarban,22.1953,92.2184,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.4,API_Corrected,0.85,1.0,Certain,False
Event_0007,ST-2000-000211-BGD,2000-05-02,Brahmanbaria,23.9571,91.1119,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.376,API_Corrected,0.85,0.9369747899159664,Certain,False
Event_0008,ST-2000-000211-BGD,2000-05-02,Chandpur,23.2321,90.6631,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.1464,API_Corrected,0.85,0.33403361344537813,Certain,False
Event_0009,ST-2000-000211-BGD,2000-05-02,Chattogram,22.3569,91.7832,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.4,API_Corrected,0.85,1.0,Certain,False
Event_0010,ST-2000-000211-BGD,2000-05-02,Cumilla,23.4607,91.1809,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.3104,API_Corrected,0.85,0.7647058823529411,Certain,False
Event_0011,ST-2000-000211-BGD,2000-05-02,Cox's Bazar,21.4272,92.0058,Severe Local Storm,2000-03-13,2000-06-21,MODERATE_RISK,1.0,0.0,No detailed description available.,0.4,API_Corrected,0.85,1.0,Certain,False
